V_kmh,V_ms,CL_required,alpha_trim_deg,delta_e_trim_deg,CL_trim,CD_trim,CM_trim,L_D_trim,trim_valid,drag_N,shaft_power_W,electrical_power_W,aux_power_W,total_power_W,endurance_min,range_km
72,20.0,0.38439183673469385,3.3542912551064465,-5.7984072059395535,0.38439183673469385,0.03158053161877569,0.0,12.171797529404474,True,1.4507306712375085,29.01461342475017,47.90854641857614,10.0,57.90854641857614,103.04800187638223,123.65760225165869
73,20.27777777777778,0.37393268561318316,3.1960351702829497,-6.191247034899004,0.37393268561318316,0.031539182369965814,0.0,11.856131247374137,True,1.4893559822822344,30.20082964072309,49.86721096507425,10.0,59.86721096507425,99.67659932381486,121.27319584397473
74,20.555555555555554,0.3638946825479644,3.044041370674057,-6.574485077622304,0.3638946825479644,0.03150369809685828,0.0,11.550856075028664,True,1.5287178617153865,31.423644935260718,51.886307426643086,10.0,61.886307426643086,96.42456058754854,118.92362472464319
75,20.833333333333332,0.35425551673469396,2.8979827688240087,-6.9483665356875495,0.35425551673469396,0.03147359008750709,0.0,11.25564372382513,True,1.5688129824705475,32.68360380146974,53.966734863107924,10.0,63.966734863107924,93.28848834899038,116.61061043623798
76,21.11111111111111,0.34499433546271696,2.7604038512858033,-7.049793211210414,0.34499433546271696,0.03102843973878658,0.0,11.118649160804003,True,1.588142565218159,33.52745415460558,55.36008941936938,10.0,65.36008941936939,91.29975269329391,115.64635341150561
77,21.38888888888889,0.3360916312418036,2.629639765518206,-7.009402331320139,0.3360916312418036,0.03038020449165929,0.0,11.062849538556451,True,1.5961529566553365,34.13993823957247,56.371415049861675,10.0,66.37141504986167,89.90858482551576,115.38268385941188
78,21.666666666666668,0.3275291389928752,2.5037711635205118,-6.980205640045286,0.3275291389928752,0.02977251479812635,0.0,11.001057223875739,True,1.6051184573130493,34.77756657511607,57.424258534763375,10.0,67.42425853476337,88.50464402101332,115.05603722731732
79,21.944444444444443,0.3192897422901223,2.382588795747647,-6.958120722818535,0.3192897422901223,0.029197578754018426,0.0,10.935486979247512,True,1.6147429038606085,35.43463594583002,58.50920280013213,10.0,68.50920280013213,87.10304245415175,114.68567256463312
80,22.22222222222222,0.311357387755102,2.265880446317436,-6.940834994503149,0.311357387755102,0.028650566684091848,0.0,10.867407656825943,True,1.6248585272228018,36.10796727161782,59.620998590906616,10.0,69.62099859090662,85.71207136893054,114.28276182524071
81,22.5,0.3037170068027211,2.1534388889925116,-6.926940402441177,0.3037170068027211,0.028128191734815164,0.0,10.797601554557126,True,1.635363178644747,36.795671519506804,60.75652676079555,10.0,70.75652676079555,84.3365308217244,113.85431660932794
82,22.77777777777778,0.296354444026272,2.0450650727203956,-6.915530578199085,0.296354444026272,0.027628046753261436,0.0,10.726579648316541,True,1.646191104614722,37.49657516066867,61.913849594499354,10.0,71.91384959449935,82.97928748979724,113.40502623605624
83,23.055555555555554,0.28925639158552086,1.9405693145275602,-6.905995678449036,0.28925639158552086,0.027148264672728992,0.0,10.654691748164849,True,1.6572980633664407,38.2099275720596,63.091727673163426,10.0,73.09172767316343,81.64207072356554,112.93819783426565
84,23.333333333333332,0.2824103290295711,1.8394226045552053,-6.933798966019563,0.2824103290295711,0.026752943240336002,0.0,10.556233999845475,True,1.672755643751217,39.03096502086173,64.44741386313598,10.0,74.44741386313598,80.1553699497257,112.21751792961598
85,23.61111111111111,0.275804468046042,1.7410743782602023,-7.038416736717807,0.275804468046042,0.026515176566137777,0.0,10.40175868179089,True,1.6975975448182374,40.08216425265283,66.18314014885917,10.0,76.18314014885917,78.32914196421925,110.9662844493106
86,23.88888888888889,0.2694277016809969,1.646987196179861,-7.065576357408791,0.2694277016809969,0.026268810292498,0.0,10.256562770866772,True,1.721629399096218,41.127813422854096,67.90970224619872,10.0,77.90970224619872,76.5932846353697,109.78370797736324
87,24.166666666666664,0.2632695576209081,1.5566584738507903,-7.04505587633312,0.2632695576209081,0.02601876656658351,0.0,10.11844881067618,True,1.7451291527381831,42.17395452450609,69.63707661425154,10.0,79.63707661425154,74.9319318802331,108.65130122633799
88,24.444444444444443,0.2573201551695058,1.4693943070017967,-7.024840664073966,0.2573201551695058,0.025776644749448022,0.0,9.982686174662668,True,1.7688625777717284,43.238863012197804,71.39543944222548,10.0,81.39543944222548,73.31319839160813,107.52602430769191
89,24.72222222222222,0.25157016558927575,1.3850576652259932,-7.004927832011103,0.25157016558927575,0.025542106066127685,0.0,9.849233455454643,True,1.7928298765444286,44.322738614570596,73.18512051941482,10.0,83.18512051941482,71.73590616614256,106.40826081311145
90,25.0,0.2460107755102041,1.303519090290977,-6.985314374860608,0.2460107755102041,0.02531483006538733,0.0,9.718049652111697,True,1.8170312595761415,45.42578148940354,75.00645034370038,10.0,85.00645034370038,70.19890815194152,105.29836222791229
91,25.27777777777778,0.24063365313762264,1.22465619960996,-6.9659971824671265,0.24063365313762264,0.025094513424128908,0.0,9.58909420041786,True,1.841466944732958,46.5481922140831,76.85976010581318,10.0,86.85976010581318,68.7010877387932,104.1966497371697
92,25.555555555555554,0.2354309170170904,1.1483532272834729,-6.946973050923002,0.2354309170170904,0.024880868842580735,0.0,9.462326999376225,True,1.866137156448308,47.6901717759012,78.74538167331468,10.0,88.74538167331468,67.2413582260175,103.10341594656016
93,25.833333333333332,0.2303951071375481,1.0745005994975882,-6.9282386930407185,0.2303951071375481,0.024673624022456816,0.0,9.337708434231343,True,1.8910421249893699,48.851921562225385,80.66364757436597,10.0,90.66364757436597,65.81866227150559,102.01892652083366
94,26.11111111111111,0.22551915817481366,1.0029945413706098,-6.909790748205017,0.22551915817481366,0.02447252072102253,0.0,9.215199396320742,True,1.9161820857669267,50.03364335058087,82.61489098135128,10.0,92.61489098135128,64.43197132523295,100.94342174286496
95,26.38888888888889,0.22079637469613883,0.9337367126142163,-6.891625791630772,0.22079637469613883,0.024277313874672028,0.0,9.094761300033719,True,1.9415572786868558,51.23553929868092,84.59944569441639,10.0,94.59944569441639,63.08028505025603,99.87711799623871
96,26.666666666666664,0.21622040816326535,0.8666338696206531,-6.873740343052353,0.21622040816326535,0.02408777078622169,0.0,8.976356097133918,True,1.9671679475414379,52.45781193443834,86.6176461249756,10.0,96.6176461249756,61.76263073394668,98.82020917431468
97,26.944444444444443,0.21178523558642295,0.8015975518080002,-6.856130874869817,0.21178523558642295,0.02390367037066191,0.0,8.85994628868196,True,1.993014339438718,53.70066414598768,88.66982727923663,10.0,98.66982727923663,60.47806269197483,97.77286801869263
98,27.22222222222222,0.20748513969519503,0.7385437902536305,-6.838793819776723,0.20748513969519503,0.023724802454592304,0.0,8.745494934775866,True,2.0190967042681787,54.96429917174486,90.75632474178718,10.0,100.75632474178718,59.225661667322875,96.73524738996069
99,27.5,0.20331469050430087,0.6773928368240864,-6.8217255778938135,0.20331469050430087,0.023550967124999694,0.0,8.632965662309442,True,2.0454152942010237,56.24892059052815,92.87747465928281,10.0,102.87747465928281,58.00453422640032,95.70748147356053
100,27.77777777777778,0.19926872816326527,0.6180689121700575,-6.804922523432194,0.19926872816326527,0.023381974123429072,0.0,8.52232267093287,True,2.0719703632234245,57.554732311761796,95.03361372427129,10.0,105.03361372427129,56.81381215412811,94.68968692354684
101,28.055555555555554,0.19534234698879066,0.5604999710997687,-6.788381010909003,0.19534234698879066,0.02321764228195012,0.0,8.413530737384729,True,2.098762166701115,58.881938565781276,97.22507915918477,10.0,107.22507915918477,55.65265184967545,93.68196394695367
102,28.333333333333332,0.19153088058752912,0.5046174839746014,-6.772097380937806,0.19153088058752912,0.023057798997639368,0.0,8.306555218350972,True,2.12579096097377,60.23074389425682,99.45220870052727,10.0,109.45220870052727,54.520233724358405,92.6843973314093
103,28.61111111111111,0.18782988798498004,0.4503562328886891,-6.75606796561539,0.18782988798498004,0.022902279742585345,0.0,8.201362051993549,True,2.153057002977667,61.601353140749914,101.7153405832816,10.0,111.7153405832816,53.41576160304905,91.69705741856754
104,28.88888888888889,0.1842351406834923,0.3976541215008283,-6.7402890935257025,0.1842351406834923,0.022750927606682944,0.0,8.097917758279639,True,2.180560549895156,62.99397144141562,104.01481352555727,10.0,114.01481352555727,52.338462130294786,90.7200010258443
105,29.166666666666664,0.1807426105789255,0.3464519974836283,-6.724757094381124,0.1807426105789255,0.022603592870718368,0.0,7.9961894382316085,True,2.208301858829541,64.40880421586161,106.35096671349699,10.0,116.35096671349699,51.2875841822101,89.75327231886767
106,29.444444444444443,0.17734845867147145,0.29669348664220363,-6.70946830332039,0.17734845867147145,0.022460132607458102,0.0,7.896144772207676,True,2.2362811865040078,65.84605715817356,108.72413978645791,10.0,118.72413978645791,50.26239828507613,88.79690363696783
107,29.72222222222222,0.17404902451154278,0.2483248378341243,-6.694419064881862,0.17404902451154278,0.02232041030864843,0.0,7.7977520173141475,True,2.2644987889833037,67.30593622811486,111.13467282248068,10.0,121.13467282248068,49.26219604146694,87.85091627394938
108,30.0,0.17084081632653061,0.20129477789428227,-6.6796057366699,0.17084081632653061,0.022184295536006295,0.0,7.700980004041456,True,2.2929549214169005,68.78864764250702,113.58290632405699,10.0,123.58290632405699,48.28628956461415,86.91532121630547
109,30.27777777777778,0.16772050177869313,0.15555437583382073,-6.6650246927316275,0.16772050177869313,0.022051663594441603,0.0,7.605798132208455,True,2.3216498378024584,70.29439786679666,116.06918120420501,10.0,126.06918120420501,47.33401092162373,85.99011984094977
110,30.555555555555554,0.16468489930848373,0.11105691564177249,-6.650672326660379,0.16468489930848373,0.021922395225894894,0.0,7.512176366292161,True,2.350583790768425,71.82339360681297,118.5938387728594,10.0,128.59383877285939,46.404711586069034,85.0753045744599
111,30.833333333333332,0.16173097002131753,0.06775777707223388,-6.636545054441613,0.16173097002131753,0.02179637632230594,0.0,7.420085230213498,True,2.379757031374682,73.37584180071936,121.15722072358201,10.0,131.15722072358201,45.49776190040197,84.17085951574364
112,31.11111111111111,0.1588558100791337,0.025614323849276224,-6.622639317056259,0.1588558100791337,0.021673497656348174,0.0,7.329495801643478,True,2.4091698089301836,74.95194961116127,123.75966912059653,10.0,133.75966912059653,44.612550548550495,83.27676102396093
113,31.38888888888889,0.15605664356117574,-0.015414201233188131,-6.608951582855784,0.15605664356117574,0.02155365462867282,0.0,7.240379705888654,True,2.438822370826577,76.551924417612,126.40152638614985,10.0,136.40152638614984,43.74848403900211,82.39297827345398
114,31.666666666666664,0.15333081576120755,-0.055366774798292585,-6.595478349722688,0.15333081576120755,0.0214367470305061,0.0,7.152709109409478,True,2.4687149623868643,78.17597380891736,129.08313528820204,10.0,139.08313528820204,42.90498619861204,81.51947377736289
115,31.944444444444443,0.15067578689093786,-0.09428068540402146,-6.582216147029371,0.15067578689093786,0.021322678820533424,0.0,7.0664567130204725,True,2.498847826728185,79.82430557603924,131.80483892844455,10.0,141.80483892844455,42.08149767731947,80.65620388152898
116,32.22222222222222,0.14808912616176076,-0.1321916205017854,-6.569161537407737,0.14808912616176076,0.021211357915087513,0.0,6.981595744816783,True,2.5292212046378513,81.49712770499742,134.56698073064592,10.0,144.56698073064592,41.277475463904565,79.8031192302155
117,32.5,0.14556850621905568,-0.16913374821424954,-6.5563111183413385,0.14556850621905568,0.02110269599073303,0.0,6.898099952867641,True,2.5598353344618197,83.19464837000913,137.36990442932364,10.0,147.36990442932364,40.49239241287461,78.9601652051055
118,32.77777777777778,0.14311169790524658,-0.20537985370572417,-6.5632518343753325,0.14311169790524658,0.021057369604745867,0.0,6.796276106251768,True,2.5981875550577964,85.16281430467222,140.6197140221626,10.0,150.6197140221626,39.61871816541856,77.91681239198984
119,33.05555555555556,0.14071656532961324,-0.24079927390809616,-6.576853819431445,0.14071656532961324,0.021034216766202558,0.0,6.689888522767074,True,2.6395058661898743,87.25033279905418,144.0665969850224,10.0,154.0665969850224,38.73234118736405,76.8191433549387
120,33.333333333333336,0.13838106122448976,-0.27533715097563655,-6.590192324948722,0.13838106122448976,0.02101166138238768,0.0,6.5859171583872484,True,2.6811755409817626,89.37251803272542,147.57072120986655,10.0,157.57072120986655,37.87099503119076,75.74199006238152
