V_kmh,V_ms,CL_required,mass_kg,sref_m2,cref_m,bref_m,cg_x_m,cg_y_m,cg_z_m,rho,alpha_trim_deg,delta_e_trim_deg,CL_trim,CD_trim,CM_trim,L_D_trim,trim_valid,Cma_per_deg,Cma_per_rad,Cmde_per_deg,Cmde_per_rad,elevator_margin_up_deg,elevator_margin_down_deg,elevator_authority_score,Cma_fit_points,Cmde_fit_points,drag_N,shaft_power_W,electrical_power_W,aux_power_W,total_power_W,endurance_min,range_km
69,19.166666666666668,0.4185158112144445,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,3.2996559909161167,-4.08788966190186,0.41851581121443193,0.03241989421606868,1.908933081051778e-13,12.909228155562507,True,-0.010041835038291176,-0.5753547662606758,0.007363417646105652,0.4218927539140091,35.91211033809814,44.08788966190186,35.91211033809814,9.0,9.0,1.3678586966789914,34.956388915129786,43.289645715331005,10.0,53.289645715331005,111.97972739164297,128.77668650038942
70,19.444444444444443,0.4066436279983614,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,3.1224070146871243,-4.300229098654705,0.40664362799835196,0.031802257433190304,1.4845156354192923e-13,12.786627768567143,True,-0.01020998624955178,-0.584989120985921,0.007412006018563982,0.42467666258928105,35.699770901345296,44.300229098654704,35.699770901345296,9.0,9.0,1.3809739612040284,35.80302862380814,44.338115942796456,10.0,54.338115942796456,109.81904500115608,128.12221916801542
71,19.72222222222222,0.39526954516801643,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,2.9527089529607693,-4.50631369969833,0.39526954516802837,0.03120711340156316,1.1539900979240514e-13,12.66600790921692,True,-0.010373184267864221,-0.5943396786601226,0.007458524496718487,0.42734197505690574,35.49368630030167,44.50631369969833,35.49368630030167,9.0,9.0,1.3941251360778792,36.6603276524183,45.399786566462296,10.0,55.399786566462296,107.7144944022672,127.46215170934953
72,20.0,0.3843660835632659,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,2.7901394308276948,-4.706353812253087,0.38436608356326396,0.030633394868023665,8.954653425014003e-14,12.547289819466934,True,-0.010531595666807236,-0.6034159832463205,0.007503088864083684,0.429895325223602,35.293646187746916,44.706353812253084,35.293646187746916,9.0,9.0,1.4073158629526343,37.52842301207025,46.47482725952972,10.0,56.47482725952972,105.66406821533133,126.7968818583976
73,20.27777777777778,0.3739076331754495,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,2.63430513071448,-4.900553064531021,0.37390763317543485,0.030080097394110997,6.991542761403124e-14,12.430399685096681,True,-0.010685381699189192,-0.6122272738498689,0.007545806938832402,0.43234289061562803,35.099446935468976,44.900553064531024,35.099446935468976,9.0,9.0,1.4205496562729365,38.407453669601615,47.5634101171537,10.0,57.5634101171537,103.66585280224301,126.12678757606233
74,20.555555555555554,0.36387030262819037,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,2.4848915625254335,-5.06571050931518,0.3638703026283307,0.02955064126261626,-1.0088284374543122e-13,12.313448611643276,True,-0.010694847691099059,-0.6127696352352092,0.007586764930556531,0.43468961067875234,34.93428949068482,45.06571050931518,34.93428949068482,9.0,9.0,1.434041799087046,39.30336782683015,48.67290133353578,10.0,58.67290133353578,101.70555510929243,125.43685130146065
75,20.833333333333332,0.3542317826119059,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,2.3415813085711457,-5.188655509802549,0.3542317826119156,0.02903393305794525,3.996932992911262e-14,12.200613051802112,True,-0.010565213185562548,-0.6053421251887019,0.007626049851374536,0.43694047084012966,34.81134449019745,45.18865550980255,34.81134449019745,9.0,9.0,1.4473043219244037,40.202897831233436,49.786870379236454,10.0,59.786870379236454,99.81054305315205,124.76317881644005
76,21.11111111111111,0.3449712218130143,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,2.2039865293078136,-5.294692534139963,0.34497122181302803,0.028523953047187866,2.7541554106780275e-14,12.094088825708477,True,-0.010453406628451222,-0.5989360813443345,0.0076637680177944695,0.4391015625869639,34.70530746586004,45.29469253413996,34.70530746586004,9.0,9.0,1.4600521175654828,41.09776330925063,50.89506292167261,10.0,60.89506292167261,97.9941511461385,124.12592478510877
77,21.38888888888889,0.3360691140482325,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,2.071793418447008,-5.387070786202045,0.33606911404824386,0.028023015070679495,1.9575053383791285e-14,11.992610830797906,True,-0.010356002024921814,-0.5933552086569543,0.007700005451959573,0.4411778146250075,34.612929213797955,45.387070786202045,34.612929213797955,9.0,9.0,1.472406655159155,41.99085646194627,52.00106063398919,10.0,62.00106063398919,96.24609545354573,123.51582249871703
78,21.666666666666668,0.32750719546219104,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,1.9444608810293849,-5.430860328466051,0.32750719546215823,0.02756902599238925,-4.4177682345658553e-13,11.87953450196501,True,-0.010309829869595761,-0.590709739025749,0.007710087456845951,0.44175547095402723,34.56913967153395,45.43086032846605,34.56913967153395,9.0,9.0,1.4864218793318376,42.94107651403087,53.17780373254597,10.0,63.17780373254597,94.45342584655127,122.78945360051667
79,21.944444444444443,0.31926835077583254,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,1.8216337630240573,-5.424367727896532,0.3192683507758327,0.02717569611647082,1.190887666258078e-15,11.748304419047743,True,-0.010316675736130713,-0.5911019782853116,0.007688860266142341,0.4405392425157911,34.57563227210347,45.42436772789653,34.57563227210347,9.0,9.0,1.5030254043613962,43.97740997946307,54.46118882905643,10.0,64.46118882905643,92.57291260675855,121.88766826556541
80,22.22222222222222,0.31133652768624537,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,1.7033841288145994,-5.41810129119221,0.3113365276862456,0.026797284349891846,1.020884765612351e-15,11.618211891217333,True,-0.010323283133100254,-0.5914805542452338,0.0076684241639463505,0.4393683401102627,34.58189870880779,45.41810129119221,34.58189870880779,9.0,9.0,1.5198552208665084,45.03274728493358,55.768108092797,10.0,65.76810809279701,90.73333828578768,120.97778438105024
81,22.5,0.30369665861788914,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,1.5894873131573115,-5.4120508149753395,0.30369665861788997,0.026433043767711863,8.291978215169138e-16,11.489280662745976,True,-0.010329662819053528,-0.5918460833249753,0.007648740323229787,0.4382405391125959,34.58794918502466,45.41205081497534,34.58794918502466,9.0,9.0,1.5369108404894454,46.10732521468336,57.098854755025826,10.0,67.09885475502583,88.93385769081304,120.06070788259761
82,22.77777777777778,0.2963345891124286,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,1.4797322670418818,-5.406206654480681,0.29633458911243005,0.0260822736964817,6.071532165918825e-16,11.361532071968226,True,-0.010335824963532744,-0.5921991481963842,0.007629772270145008,0.43715374972525795,34.593793345519316,45.406206654480684,34.593793345519316,9.0,9.0,1.5541918016115839,47.20138064153699,58.453722156702156,10.0,68.45372215670216,87.17363807244409,119.1373053656736
