V_kmh,V_ms,CL_required,mass_kg,sref_m2,cref_m,bref_m,cg_x_m,cg_y_m,cg_z_m,rho,alpha_trim_deg,delta_e_trim_deg,CL_trim,CD_trim,CM_trim,L_D_trim,trim_valid,Cma_per_deg,Cma_per_rad,Cmde_per_deg,Cmde_per_rad,elevator_margin_up_deg,elevator_margin_down_deg,elevator_authority_score,Cma_fit_points,Cmde_fit_points,drag_N,shaft_power_W,electrical_power_W,aux_power_W,total_power_W,endurance_min,range_km
54,15.0,0.7246307861675292,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,6.640209617622026,7.250308968933938,0.7246307861678035,0.06153493632012878,5.503974012666113e-13,11.775924856702394,True,-0.004902633546500674,-0.28090021071374344,0.008602954632718098,0.4929129917972662,47.250308968933936,32.749691031066064,32.749691031066064,10.0,9.0,1.4995000575225685,22.49250086283853,37.1393203101565,10.0,47.1393203101565,126.58986087914153,113.93087479122737
55,15.277777777777777,0.6985201231287654,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,6.273029099352172,7.038052149089768,0.6985201231289552,0.058260500973513596,3.9686786842962896e-13,11.989600354561258,True,-0.004912154841030334,-0.281445740705794,0.008589994662834275,0.4921704402203066,47.038052149089765,32.961947850910235,32.961947850910235,10.0,9.0,1.4727763626655899,22.50074998516873,37.152941151981395,10.0,47.152941151981395,126.55329347889996,116.00718568899164
56,15.555555555555555,0.6737957182603684,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,5.92556398259603,6.83782532088069,0.6737957182605034,0.055288538844950594,2.0735323180698373e-13,12.186896820515994,True,-0.004921136501103814,-0.28196035192102553,0.0085780721743521,0.49148733194898453,46.83782532088069,33.16217467911931,33.16217467911931,10.0,9.0,1.448933248558996,22.53896164425105,37.21603573870142,10.0,47.21603573870142,126.38418085381008,117.95856879688941
57,15.833333333333332,0.6503611488040983,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,5.597033172723516,6.653481144942962,0.6503611488042147,0.05295688581072802,1.5722492752168193e-13,12.280955325217866,True,-0.004929405706282798,-0.2824341424777091,0.008567984103874205,0.4909093280871707,46.65348114494296,33.34651885505704,33.34651885505704,10.0,9.0,1.4378360259762533,22.765737077957343,37.590484339248455,10.0,47.590484339248455,125.38977240621706,119.12028378590621
58,16.11111111111111,0.6281282320049093,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,5.285343826720555,6.478277112011337,0.6281282320049878,0.05073351742954547,1.151691589318382e-13,12.380932051030772,True,-0.004937264908175821,-0.2828844415765205,0.008558413177814311,0.49036095441790695,46.47827711201134,33.52172288798866,33.52172288798866,10.0,9.0,1.4262254188312173,22.978076192280724,37.94109587992689,10.0,47.94109587992689,124.47274911999992,120.32365748266658
59,16.38888888888889,0.6070161943305129,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,4.9893642479450815,6.311623683204126,0.6070161943306156,0.04861205166736152,8.413495594661313e-14,12.486948678575743,True,-0.004944740551979473,-0.28331276441561287,0.008549324645594566,0.4898402198797469,46.311623683204125,33.688376316795875,33.688376316795875,10.0,9.0,1.4141164871046026,23.17579798310321,38.26757148912811,10.0,48.26757148912811,123.63083154792866,121.57031768879651
60,16.666666666666668,0.5869509367956985,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,4.708056220969452,6.152977711468633,0.5869509367957367,0.04658655001239796,6.193483226279994e-14,12.599150111771165,True,-0.004951857001872327,-0.2837205069595897,0.00854068662712918,0.48934529787832426,46.15297771146864,33.84702228853136,33.84702228853136,10.0,9.0,1.401523106189805,23.35871843649675,38.56960732548483,10.0,48.56960732548483,122.86201862844553,122.86201862844551
61,16.944444444444443,0.5678643838926406,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,4.440465896593809,6.001838164692347,0.5678643838926406,0.04465148317562744,4.550635042399609e-14,12.71770484440713,True,-0.004958636732865152,-0.2841089569317126,0.00853246983293398,0.48887451024981166,46.001838164692344,33.998161835307656,33.998161835307656,10.0,9.0,1.3884580760470682,23.526650733019764,38.84689491520292,10.0,48.84689491520292,122.16457177798506,124.2006479742848
62,17.22222222222222,0.5496939054278135,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,4.185715697105265,5.857742297974899,0.5496939054278295,0.042801699558202275,3.3659327495355607e-14,12.842805568511338,True,-0.004965100502502946,-0.284479303651703,0.008524647315564318,0.4884263130193623,45.8577422979749,34.1422577020251,34.1422577020251,10.0,9.0,1.374933218898472,23.679405436584794,39.0991214639171,10.0,49.0991214639171,121.53700152018827,125.58823490419454
63,17.5,0.5323818020822664,1.8,0.17682192737430166,0.21183464332902732,0.995,0.04,0.0,0.007,1.225,3.9430109407434486,5.719825059226697,0.5323818020822773,0.04113656731060228,3.092491540623854e-14,12.941813984198545,True,-0.004971287114795559,-0.2848337704255535,0.008516879364230534,0.4879812421924734,45.71982505922669,34.28017494077331,34.28017494077331,10.0,9.0,1.364414603822934,23.877255566901344,39.425808985595616,10.0,49.425808985595616,120.73368392895897,126.77036812540692
